AQP4	GAD1	NEUROD2	NEUROD2_GAD1	PAX6	PAX6_AQP4	PAX6_GAD1	PAX6_NEUROD2	PAX6_NEUROD2_GAD1	PDGFRA	PDGFRA_GAD1	PDGFRA_NEUROD2	PTPRC	PTPRC_NEUROD2
PRF1	0	4	21	6	98	1	3	1	0	3	0	1	65	1
PRG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRG2	0	309	750	2	232	93	40	1194	0	163	70	0	0	55
PRG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRG4	0	74	245	14	36	13	0	28	0	0	0	23	1	15
PRH1	0	15	35	30	4	1	0	14	0	10	0	7	1	1
PRH1-PRR4	0	0	117	0	2	0	0	1	0	0	0	0	0	0
PRH2	1	135	205	163	298	1	13	110	1	6	0	7	1	21
PRICKLE1	34	43	2301	407	611	206	0	392	118	44	0	104	4	69
PRICKLE2	56	179	2038	630	341	25	11	551	138	119	102	431	50	21
PRICKLE2-AS1	0	0	76	0	63	0	0	6	0	0	40	1	0	0
PRICKLE2-AS2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2-AS3	8	342	1933	418	120	47	15	609	8	25	38	45	51	127
PRICKLE3	3	17	45	13	19	3	0	17	0	0	0	0	3	0
PRICKLE4	0	4	40	1	0	0	0	12	0	0	0	0	0	5
PRIM1	3	1240	8956	1149	5299	323	65	3582	203	344	108	255	139	8
PRIM2	2	79	921	160	281	22	2	312	4	29	5	96	43	4
PRIMA1	0	0	3	0	43	0	0	6	0	0	0	0	0	0
PRIMPOL	0	82	686	10	162	10	0	170	1	48	4	0	1	4
PRKAA1	68	693	3667	795	1001	205	35	1070	58	328	183	201	81	142
PRKAA2	113	1009	5896	1578	945	60	55	2181	124	234	116	293	85	191
PRKAB1	33	1111	6703	769	2348	193	53	1486	37	517	158	165	272	177
PRKAB2	151	1020	6239	1264	1041	139	33	1819	48	136	399	302	249	133
PRKACA	99	604	5374	740	750	95	43	2096	237	562	136	421	477	288
PRKACB	717	1807	26120	6162	3348	743	429	7198	224	1528	335	1430	1287	845
PRKACG	0	0	152	0	0	0	0	23	0	0	0	0	0	0
PRKAG1	159	744	6637	669	2242	521	307	1908	6	770	86	233	175	43
PRKAG2	130	708	3879	726	458	96	1	895	2	116	49	108	1	131
PRKAG2-AS1	49	283	3840	676	1057	24	48	830	2	10	27	20	5	77
PRKAG3	0	0	41	0	0	0	0	0	0	0	0	0	0	0
PRKAR1A	383	3893	24385	3605	5641	884	242	7212	169	1734	432	854	738	710
PRKAR1B	181	1616	13434	2621	2309	115	311	3053	133	799	200	1152	55	109
PRKAR2A	0	10	976	77	236	152	0	83	4	1	13	27	161	49
PRKAR2A-AS1	0	110	135	57	20	2	2	159	0	42	4	1	0	2
PRKAR2B	291	1163	15623	3849	1526	34	250	4254	200	421	173	841	412	412
PRKCA	147	2008	7939	888	1170	392	305	1752	57	1179	183	449	362	177
PRKCA-AS1	0	2	89	29	199	0	0	5	0	0	0	0	0	0
PRKCB	295	1097	9568	3921	848	387	66	1789	204	589	80	1613	389	1081
PRKCD	0	146	295	65	101	68	2	80	2	64	0	5	389	1
PRKCDBP	2	71	480	142	253	2	0	205	176	164	1	1	2	0
PRKCE	18	627	3338	824	145	67	26	661	0	217	26	97	439	36
PRKCG	0	83	953	245	13	2	2	177	0	6	1	65	0	23
PRKCH	1	1	204	9	14	0	1	17	9	143	0	0	1	0
PRKCI	63	1042	5088	855	1123	53	37	2381	143	395	49	89	6	206
PRKCQ	0	0	112	103	14	0	0	94	59	61	0	0	0	0
PRKCQ-AS1	1	4	714	56	153	0	1	58	0	169	0	119	1	35
PRKCSH	87	819	4993	881	1409	212	75	1658	32	177	49	152	89	121
PRKCZ	0	4	115	21	6	1	5	11	0	3	0	0	0	1
PRKD1	26	320	1734	526	491	160	50	988	20	266	3	93	5	30
PRKD2	87	266	1453	395	569	114	0	548	1	412	1	67	63	6
PRKD3	75	874	3988	792	2416	57	76	1700	29	218	42	70	119	113
PRKDC	462	2764	25548	2901	9427	1507	255	7960	409	1897	569	529	629	525
PRKG1	1	136	1327	248	195	84	4	407	1	1	15	38	1	0
PRKG1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKG2	4	6	2694	190	137	0	16	458	81	44	1	6	1	1
PRKRA	301	3023	19875	2139	7702	716	175	6003	216	1142	255	588	327	229
PRKRIP1	0	304	709	172	150	0	0	203	0	41	87	0	0	0
PRKRIR	34	673	7624	1092	2124	66	10	3254	161	413	76	325	128	39
PRKX	20	1378	18589	1747	2427	42	162	6865	20	540	82	334	529	645
PRKX-AS1	0	12	43	35	0	0	0	28	0	0	1	0	0	0
PRKXP1	77	253	4372	926	830	68	81	1772	1	365	18	127	245	76
PRKY	0	169	2280	0	246	0	0	192	0	2	0	0	0	0
PRL	0	9	78	19	110	0	0	93	0	0	0	0	9	0
PRLH	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRLHR	0	99	20	33	0	0	0	1	0	0	0	0	14	0
PRLR	0	4	457	235	92	2	0	37	0	3	1	17	1	4
PRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRMT1	890	3527	39827	3474	10944	1118	240	11489	199	1576	563	1057	329	635
PRMT2	710	8034	51812	7935	10527	2216	764	12284	862	2837	560	1670	926	716
PRMT3	8	231	1918	180	690	240	31	751	31	200	44	183	13	10
PRMT5	15	20	432	100	69	6	2	24	0	19	3	9	2	4
PRMT5-AS1	0	0	42	0	1	0	0	0	0	0	0	0	0	0
PRMT6	246	591	2019	276	1242	52	0	974	5	486	79	151	104	89
PRMT7	28	258	3380	220	1180	231	41	1188	73	282	92	66	122	83
PRMT8	83	187	610	227	61	1	0	50	4	3	5	27	77	1
PRMT9	62	371	3194	435	1880	205	50	1166	81	223	1	292	493	85
PRNCR1	0	1	146	78	20	0	0	101	0	25	0	0	0	1
PRND	3	3	234	7	6	3	1	44	0	2	1	5	0	0
PRNP	731	3032	17516	3912	2629	1601	75	2983	378	1606	265	1545	1111	639
PRNT	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRO1804	0	23	210	3	0	0	0	0	0	0	0	4	0	0
PROB1	0	0	0	0	52	0	0	0	0	0	0	0	0	0
PROC	0	0	101	1	1	0	0	0	0	0	0	0	0	0
PROCA1	157	197	1662	762	888	623	0	783	0	27	101	6	78	9
PROCR	0	7	273	65	14	2	1	134	0	0	0	1	58	51
PRODH	353	215	318	102	347	490	3	317	1	1	27	45	3	2
PRODH2	0	9	21	1	11	0	0	1	0	0	0	0	1	0
PROK1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PROK2	0	0	1	0	0	0	0	4	0	0	0	13	0	0
PROKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKR2	0	0	16	0	19	0	0	0	0	0	0	0	48	0
PROL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PROM1	50	360	4339	3746	1432	198	16	894	0	934	70	751	20	208
PROM2	1	9	819	139	58	3	0	327	2	5	0	37	2	114
PROP1	0	0	12	65	0	0	0	0	0	0	0	0	0	0
PRORSD1P	0	27	275	4	1	0	0	2	0	34	1	0	1	0
PRORY	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROS1	31	58	459	31	102	56	0	190	0	73	1	39	175	2
PROSC	193	1135	10407	1271	4880	566	301	3764	190	935	176	323	357	206
PROSER1	41	549	5015	689	600	252	125	2135	6	235	0	133	36	19
PROSER2	0	0	37	6	82	0	0	64	0	0	0	0	0	0
PROSER2-AS1	0	0	71	105	6	0	0	85	0	0	0	0	2	0
PROSER3	0	158	814	111	841	59	58	492	1	102	4	70	49	0
PROX1	211	1290	1141	1582	237	3	72	110	0	255	1	70	174	29
PROX1-AS1	0	1	0	0	0	0	0	2	0	0	0	71	1	0
PROX2	0	0	73	0	2	0	0	16	0	0	0	36	0	0
PROZ	0	0	38	5	0	0	0	0	0	0	0	0	0	0
PRPF18	36	728	6951	520	1132	3	53	1849	3	492	62	172	47	10
PRPF19	2	150	999	184	340	9	35	564	0	52	1	32	39	0
PRPF3	49	862	6785	880	2337	165	43	2330	37	389	162	337	146	114
PRPF31	95	1688	16632	2139	6079	931	611	5503	335	1091	302	714	425	434
PRPF38A	50	752	5134	577	2955	176	35	2639	81	401	220	146	346	91
PRPF38B	493	2852	17411	4002	5939	787	127	8574	174	1215	337	753	1821	691
PRPF39	33	1227	7117	814	1581	240	112	2456	73	257	100	339	121	266
PRPF4	275	911	5425	633	2282	235	27	1647	270	257	111	350	111	4
PRPF40A	303	5234	34342	4016	14429	632	674	11749	821	3700	202	922	1493	583
PRPF40B	81	115	250	253	84	1	0	5	8	0	0	2	152	0
PRPF4B	581	5943	30091	4029	9686	466	303	8173	721	1663	499	1341	1162	473
PRPF6	571	4113	27598	4174	6791	263	257	8215	487	1692	537	751	765	645
PRPF8	103	1994	15573	2363	3416	394	103	5648	245	735	134	637	1139	439
PRPH	0	2	2	1	24	0	0	0	0	0	0	2	0	0
PRPH2	0	103	217	30	50	43	26	16	0	2	33	0	31	0
PRPS1	50	461	2832	531	1276	191	109	844	10	133	69	122	115	42
PRPS1L1	0	0	0	0	32	0	0	0	0	0	0	0	0	1
PRPS2	16	215	2482	533	1000	50	5	587	16	209	22	113	170	112
PRPSAP1	494	1669	12738	2148	6186	808	394	4723	126	1399	388	270	322	269
PRPSAP2	314	2818	25499	2248	4951	523	377	5757	82	970	197	654	333	335
PRR11	282	523	3061	355	5780	601	162	4367	32	917	4	141	540	13
PRR12	24	60	507	95	136	1	18	145	40	5	2	12	24	6
PRR13	500	1425	12175	1098	5063	308	193	3189	536	1329	263	363	2665	709
PRR14	120	845	7306	1479	1714	259	195	2833	215	374	25	329	291	112
PRR14L	37	581	6935	1687	1282	82	102	2384	87	428	11	225	378	169
PRR15	1	28	4	0	33	0	1	102	0	5	0	0	2	0
PRR15L	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR16	1	0	128	57	21	0	0	11	3	1	0	5	2	1
PRR18	2	0	2	4	5	4	0	0	0	0	0	12	0	0
PRR19	2	249	2160	238	539	52	0	1022	1	59	40	170	1	5
PRR20A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR22	0	30	84	200	119	70	107	129	4	7	0	1	4	0
PRR23A	0	4	43	23	2	0	0	12	1	0	0	1	1	1
PRR23B	0	1	0	37	0	0	0	1	1	0	0	0	0	0
PRR23C	1	1	94	12	5	1	2	6	1	2	0	2	0	23
PRR23D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR25	0	0	3	1	0	0	0	0	0	0	0	0	0	0
PRR26	34	450	5891	1095	818	27	0	1550	2	45	114	181	22	114
PRR27	0	99	61	49	1	0	0	55	153	1	0	0	0	0
PRR29	1	1	14	17	44	19	0	12	33	1	0	0	0	1
PRR3	38	674	7270	904	1242	89	4	1925	11	152	39	149	39	122
PRR30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR34	0	68	146	0	0	0	0	2	0	0	0	0	0	1
PRR34-AS1	27	236	1481	116	465	3	8	907	39	47	8	24	15	144
PRR35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR36	66	718	7040	1295	921	121	155	1647	55	410	234	515	80	120
PRR4	0	0	0	0	0	0	0	24	0	0	0	0	0	0
PRR5	161	383	4283	488	688	727	4	917	2	297	20	42	228	107
PRR5-ARHGAP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR5L	22	4	202	21	280	71	0	154	0	0	0	2	3	2
PRR7	61	49	1859	276	26	3	23	550	1	2	3	117	16	30
PRR7-AS1	0	45	161	6	26	0	0	167	2	1	0	140	2	3
PRR9	0	0	1	2	0	0	0	3	0	0	0	0	0	0
PRRC1	15	924	8927	1055	1785	213	78	2344	4	321	94	268	100	290
PRRC2A	408	846	5559	1184	1542	276	164	2968	51	341	65	420	221	202
PRRC2B	514	5050	44226	8283	6479	1477	640	13172	1140	1500	338	1896	664	551
PRRC2C	1234	12072	43036	9068	15093	2204	702	15463	704	3664	985	2560	2455	1098
PRRG1	0	327	703	91	71	1	1	173	0	92	148	6	3	72
PRRG2	0	0	271	70	0	0	7	112	0	0	0	0	18	0
PRRG3	0	244	302	22	58	0	0	119	0	0	0	37	0	9
PRRG4	1	16	286	137	34	2	1	81	1	2	4	3	45	14
PRRT1	124	110	1819	512	238	2	0	205	8	31	84	64	1	35
PRRT2	386	1249	10006	3566	3300	372	169	2892	54	595	159	790	265	395
PRRT3	204	356	2951	344	473	126	59	636	40	106	27	75	30	4
PRRT3-AS1	2	99	283	121	72	0	12	41	1	15	3	0	41	1
PRRT4	0	112	1113	309	56	1	67	141	1	71	142	59	1	1
PRRX1	0	2	81	38	0	2	0	62	0	360	46	132	0	0
PRRX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRX2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS12	7	466	7070	906	286	6	25	1232	8	30	9	368	81	111
PRSS16	0	0	1	0	1	0	0	55	0	0	0	1	0	0
PRSS21	0	1	3	0	28	0	0	0	0	0	0	0	0	0
PRSS22	0	0	1	0	0	1	0	0	0	0	0	0	0	0
PRSS23	5	84	6043	710	200	209	59	1343	3	109	2	159	14	63
PRSS27	111	177	1114	245	535	7	0	381	0	21	40	38	10	7
PRSS3	0	89	13	12	0	0	0	0	0	0	0	0	0	0
PRSS30P	0	45	155	1	204	0	0	132	0	17	0	1	0	0
PRSS33	0	1	412	0	36	1	15	175	0	1	0	1	0	0
PRSS35	276	196	176	15	405	1217	0	238	0	1	18	1	1	0
PRSS36	2	110	313	31	234	1	0	134	0	0	282	3	37	0
PRSS37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS38	0	0	15	0	0	0	0	8	0	0	0	0	0	0
PRSS3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS41	0	0	1	1	0	0	0	0	0	0	0	0	0	0
PRSS42	0	0	36	0	0	0	0	0	0	0	0	0	0	0
PRSS45	0	0	0	0	5	0	0	0	0	0	0	0	0	0
PRSS46	0	0	4	0	63	0	0	0	0	0	0	23	0	0
PRSS48	0	2	11	0	5	0	0	0	0	4	1	0	0	0
PRSS50	0	0	73	22	1	0	0	0	0	1	0	1	0	0
PRSS53	0	36	485	116	28	0	0	152	0	30	0	11	4	0
PRSS54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS55	0	30	2	0	0	0	0	0	0	0	0	0	0	0
PRSS56	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PRSS57	0	0	1	1	0	0	0	0	0	17	0	0	0	0
PRSS58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS8	0	84	57	0	12	1	0	17	0	2	1	0	3	0
PRTFDC1	150	658	4684	537	2303	283	2	2135	106	182	62	145	175	82
PRTG	23	68	206	360	16	68	3	84	0	166	22	108	0	1
PRTN3	0	0	3	2	1	0	0	0	1	0	0	0	0	0
PRUNE	1	383	3691	657	475	261	35	778	4	125	5	170	1	92
PRUNE2	41	238	3392	998	832	185	16	715	3	95	28	515	127	26
PRX	25	2	110	68	2	1	1	77	0	50	0	1	0	1
PRY	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAP	2545	10395	69564	7842	24320	6347	902	21934	791	5574	1389	2599	11025	3065
PSAPL1	0	0	81	25	0	0	0	21	2	27	0	3	0	0
PSAT1	2303	959	7460	729	12066	5453	359	6825	50	3012	254	315	161	94
PSCA	0	0	61	0	73	0	0	105	0	0	0	1	0	0
PSD	115	687	4258	1933	600	67	42	889	5	227	105	514	211	50
PSD2	78	794	6902	1773	532	125	86	2014	5	106	81	284	86	217
PSD3	663	1398	19669	4858	4882	401	142	5725	301	1472	466	1144	857	492
PSD4	0	0	105	51	31	1	0	14	1	0	0	55	168	0
PSEN1	103	1514	10213	1653	2647	622	235	2436	109	365	156	246	200	119
PSEN2	20	72	1321	221	260	2	40	116	1	43	2	3	90	27
PSENEN	410	1287	12755	1675	6053	1038	152	4694	122	1262	202	390	1456	492
PSG1	0	7	230	1	159	1	1	55	5	6	0	22	0	1
PSG10P	19	38	54	1	1	0	0	1	0	0	0	2	0	0
PSG11	5	96	11	0	1	0	0	12	0	0	0	0	0	0
PSG2	0	8	287	14	171	4	0	32	41	4	1	2	2	0
PSG3	3	31	497	7	130	3	2	31	6	2	0	0	0	0
PSG4	2	5	122	2	23	0	0	7	0	1	0	0	0	0
PSG5	0	25	269	2	60	2	0	25	39	1	0	0	0	0
PSG6	0	1	126	0	14	0	0	13	10	0	0	53	1	38
PSG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSG8	0	0	9	0	20	0	0	1	0	0	0	0	0	0
PSG9	0	22	203	0	38	1	0	16	1	1	0	0	1	0
PSIP1	486	5614	41032	6892	16158	1735	516	20891	1451	3174	907	2136	1528	1042
PSKH1	94	79	844	106	348	42	41	323	80	37	61	6	1	57
PSKH2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PSMA1	1046	5271	47650	4820	17155	1107	473	15056	564	3159	984	1714	1889	934
PSMA2	1340	6692	61961	5186	28893	2533	703	19227	1170	4260	1411	1300	1796	574
PSMA3	259	2975	24264	2947	9014	481	137	8074	486	1602	752	688	729	289
PSMA3-AS1	763	3402	25197	4228	8806	832	374	8770	394	1119	515	912	605	643
PSMA4	433	6367	54485	4463	22996	2328	1201	16012	895	2893	896	1412	1284	1191
PSMA5	249	1825	17761	1772	4734	354	141	5819	166	1398	296	596	618	474
PSMA6	659	7608	61725	5349	18767	1010	781	15868	405	3054	1399	1839	1537	724
PSMA7	1708	13773	150187	12307	50198	3912	1771	42219	1700	9832	1683	3660	4659	1661
PSMA8	0	126	62	1	0	1	0	2	0	0	0	0	0	1
PSMB1	1674	8446	69821	6589	27858	1635	365	22379	425	5377	1320	1957	3061	1019
PSMB10	596	1674	13414	2086	2413	609	155	2618	50	680	134	359	2110	415
PSMB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB2	363	3442	39277	3429	15927	720	609	12742	495	2487	593	1245	839	514
PSMB3	619	5036	64474	6565	21941	2268	318	19719	531	3563	1044	2011	1650	636
PSMB4	427	4477	40646	5556	11626	1407	576	13304	496	1984	615	1116	751	524
PSMB5	1176	6477	76566	6495	22535	2464	843	20573	518	4382	976	1748	1544	1007
PSMB6	1034	7110	79472	6342	26955	3505	1006	25386	580	5016	1070	2175	2989	701
PSMB7	39	580	3211	387	1067	81	57	937	56	120	96	99	72	46
PSMB8	106	10	313	126	260	128	66	379	0	68	14	58	430	2
PSMB8-AS1	0	4	53	6	2	0	0	105	0	0	0	0	170	0
PSMB9	2	44	197	293	660	321	34	53	1	2	0	3	672	127
PSMC1	451	4460	35357	5161	14262	1266	441	10561	383	2859	531	1059	759	542
PSMC2	247	4039	22621	2491	7783	818	243	6590	387	1916	405	487	811	235
PSMC3	1071	6577	53876	5287	23782	1765	1030	17595	494	3469	1076	1180	1156	778
PSMC3IP	0	158	767	327	263	0	0	105	1	185	0	41	0	0
PSMC4	326	2824	25825	2151	8731	647	407	8134	399	1938	303	592	1097	171
PSMC5	756	4427	30859	3110	11247	1164	237	9769	401	2241	632	851	831	1000
PSMC6	571	3320	25121	3459	7972	638	464	7151	344	1592	840	968	793	231
PSMD1	456	3138	24013	3700	6943	584	464	6468	592	1308	616	449	807	523
PSMD10	135	978	11990	1282	4352	296	203	3349	213	574	253	262	337	222
PSMD11	762	2447	20494	2249	6913	732	373	5998	436	1869	230	822	519	154
PSMD12	72	983	4720	469	2207	63	163	1652	15	624	24	92	142	89
PSMD13	441	3745	25672	2916	7663	817	319	8017	407	1492	340	852	822	787
PSMD14	520	3844	38222	3007	13080	1021	336	11818	494	1504	299	914	519	397
PSMD2	276	2967	28284	3657	6487	621	301	8901	260	1293	297	781	746	610
PSMD3	158	1525	12226	1857	2911	280	137	3615	255	399	253	560	148	163
PSMD4	444	3330	37193	3744	9496	1521	159	11065	734	2699	569	1032	1237	858
PSMD5	16	741	4138	494	1916	171	74	1171	5	203	44	66	105	3
PSMD5-AS1	679	4644	18569	3478	6436	1140	573	7398	65	1319	354	1000	574	627
PSMD6	218	3004	25175	2050	8595	603	255	8274	309	1437	409	925	590	543
PSMD6-AS2	0	11	182	23	1	0	1	0	0	1	1	0	1	0
PSMD7	315	3144	33183	4118	11484	1349	537	10631	239	2220	291	1029	1074	534
PSMD8	1252	7156	57437	5333	16084	2164	731	14967	853	5164	1370	1479	1647	855
PSMD9	402	1144	18151	1515	4677	412	316	5827	220	1053	454	465	429	514
PSME1	327	1716	24036	1850	10952	1183	487	9100	329	1545	295	888	1937	519
PSME2	289	486	5124	440	5078	328	259	2237	175	523	9	229	789	41
PSME3	278	901	13056	1560	3268	609	118	4088	9	1000	432	249	594	231
PSME4	17	388	5148	820	887	6	5	1364	3	223	6	170	15	73
PSMF1	691	2961	20842	2733	6042	1012	449	6972	373	1276	386	1092	463	211
PSMG1	34	115	1109	320	1549	95	201	393	3	132	19	11	32	137
PSMG2	119	1951	20141	2436	9146	641	222	6572	141	1654	663	510	1251	537
PSMG3	251	1055	11933	1774	3313	229	460	3073	81	855	173	613	289	23
PSMG3-AS1	17	75	713	144	204	1	40	189	0	21	93	215	276	3
PSMG4	174	1225	7022	1369	2225	198	302	2633	150	393	248	188	5	9
PSORS1C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSORS1C2	0	0	16	0	0	0	0	0	0	0	0	0	0	0
PSORS1C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPC1	169	1539	12224	1185	5224	198	84	3393	44	672	80	310	140	68
PSPH	257	380	2393	227	1624	188	120	815	37	96	71	32	73	48
PSPN	0	0	99	259	2	20	0	11	0	0	0	0	0	1
PSRC1	190	319	2717	195	7289	171	307	2810	9	565	88	107	211	21
PSTK	3	351	2375	382	1285	62	68	1297	2	266	0	66	141	2
PSTPIP1	0	0	4	1	42	14	0	37	0	44	0	0	0	0
PSTPIP2	0	71	172	18	86	0	0	55	0	27	0	4	46	101
PTAFR	1	65	951	21	95	3	3	186	1	2	1	6	3033	1043
PTAR1	101	708	3441	267	1917	214	85	2285	176	545	35	99	231	74
PTBP1	192	1168	8683	1649	7315	446	460	6921	65	1238	74	282	589	227
PTBP2	272	4117	26824	4911	4920	400	208	7260	400	834	440	712	183	416
PTBP3	145	407	4723	1021	390	1	28	1466	2	40	51	458	189	186
PTCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTCD2	23	78	729	211	495	1	1	305	108	28	18	14	1	1
PTCD3	150	1852	13890	2059	4205	318	171	4373	33	998	189	376	164	387
PTCH1	31	563	1565	574	375	13	163	987	5	287	9	18	67	2
PTCH2	29	71	1089	478	161	40	5	221	0	24	2	6	180	23
PTCHD1	5	250	1904	541	93	34	20	171	0	144	6	241	0	85
PTCHD1-AS	0	9	1	0	0	0	0	1	0	4	0	0	0	0
PTCHD2	30	352	9055	1758	1717	211	166	3217	40	123	0	456	170	95
PTCHD3	0	0	0	1	0	2	0	62	0	0	0	0	0	0
PTCHD4	37	590	3643	1306	934	95	46	1014	11	218	78	235	88	106
PTCRA	0	0	1	1	1	0	0	0	0	0	0	0	82	0
PTCSC3	0	0	0	0	3	0	0	0	0	0	0	57	0	0
PTDSS1	186	1105	13390	1573	2346	241	192	3635	105	723	264	382	551	147
PTDSS2	172	393	4221	1664	692	246	1	1311	106	255	68	456	229	121
PTEN	260	2042	13514	2632	2340	243	128	4909	231	624	160	361	708	196
PTENP1	0	76	440	121	443	1	0	115	0	5	6	70	6	1
PTENP1-AS	0	12	229	37	282	15	0	29	0	32	28	28	2	2
PTER	1	231	3051	812	347	10	0	365	9	213	4	306	47	74
PTF1A	0	0	6	0	0	0	0	0	0	0	0	0	0	0
PTGDR	0	2	5	21	0	0	0	0	0	0	0	0	0	0
PTGDR2	0	0	1	2	25	0	0	0	0	44	0	27	0	0
PTGDS	4	75	900	242	18	49	24	56	1	28	4	100	4	41
PTGER1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PTGER2	0	0	3	0	0	0	1	0	0	0	0	0	1	0
PTGER3	0	5	20	39	0	0	0	5	0	0	45	9	8	0
PTGER4	1	4	8	5	0	1	0	23	0	0	0	0	481	3
PTGER4P2-CDK2AP2P2	7	7	475	54	16	24	0	20	2	4	0	1	142	72
PTGES	0	104	550	30	71	1	3	72	0	2	46	0	0	1
PTGES2	1	578	3523	523	448	6	53	1022	30	206	2	50	219	65
PTGES2-AS1	17	14	246	47	3	0	0	96	24	0	0	2	33	0
PTGES3	1240	7306	61080	7958	24689	1879	1249	21534	783	4017	1026	1946	2355	1075
PTGES3L	6	89	787	357	48	12	55	370	2	20	3	10	3	8
PTGES3L-AARSD1	0	8	0	0	0	0	0	0	0	0	0	0	0	0
PTGFR	0	179	561	79	114	1	1	229	0	66	1	3	47	1
PTGFRN	76	261	2686	398	1015	134	62	1135	57	258	11	279	68	12
PTGIR	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGIS	65	267	1475	368	361	51	31	372	6	33	2	32	3	32
PTGR1	85	315	2449	106	1861	176	178	772	170	558	126	166	20	2
PTGR2	55	258	1919	164	784	54	23	522	2	79	39	121	166	20
PTGS1	0	3	29	37	24	29	0	7	0	1	0	1	670	84
PTGS2	0	60	254	1	88	0	0	1	0	1	0	1	26	28
PTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTH1R	0	1	172	220	103	0	1	7	1	26	0	0	3	0
PTH2	0	0	104	1	8	1	0	47	0	1	0	6	0	1
PTH2R	20	1	218	1	2	92	0	40	65	1	0	33	0	2
PTHLH	57	1	54	25	56	40	0	6	0	0	17	0	0	0
PTK2	432	1746	9091	2335	2927	505	197	3588	253	966	155	443	228	174
PTK2B	124	108	1314	834	229	30	85	400	2	35	12	239	10	173
PTK6	4	44	459	145	75	5	4	163	16	8	5	27	10	5
PTK7	0	26	546	56	453	4	1	490	1	7	14	1	4	36
PTMA	4088	76464	802384	69513	229724	6812	7636	247111	10227	29319	8571	14182	18837	10297
PTMS	505	4383	33731	6231	7048	686	489	11177	314	1267	301	1556	788	895
PTN	22072	13445	69090	7362	116490	47541	3682	68388	3193	20944	4630	6944	551	954
PTOV1	751	3967	38641	6258	8648	926	767	13040	630	1845	673	1143	450	1216
PTOV1-AS1	25	77	741	83	253	20	0	192	34	27	5	77	0	0
PTOV1-AS2	7	255	855	77	269	226	0	272	24	23	2	21	1	27
PTP4A1	358	3574	37006	5039	8807	678	683	9439	368	2075	283	1110	1150	503
PTP4A2	157	2457	19652	4466	4138	355	179	7510	497	956	284	1288	687	572
PTP4A3	68	560	5795	769	1066	316	72	1539	85	256	12	703	59	130
PTPDC1	7	409	2375	327	658	18	18	418	0	235	1	164	10	11
PTPMT1	475	1481	9157	1113	4899	1398	143	3990	66	1276	376	415	1171	109
PTPN1	236	948	9701	1177	1947	142	74	2895	126	301	307	471	157	216
PTPN11	127	2277	17853	3078	3775	352	451	5890	262	811	373	649	663	103
